id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960405;05/04/1996;sexta-feira, 5 de abril de 1996;5;sexta-feira;sex;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960406;06/04/1996;sábado, 6 de abril de 1996;6;sábado;sab;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960407;07/04/1996;domingo, 7 de abril de 1996;7;domingo;dom;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960408;08/04/1996;segunda-feira, 8 de abril de 1996;8;segunda-feira;seg;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960409;09/04/1996;terça-feira, 9 de abril de 1996;9;terça-feira;ter;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960410;10/04/1996;quarta-feira, 10 de abril de 1996;10;quarta-feira;qua;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960411;11/04/1996;quinta-feira, 11 de abril de 1996;11;quinta-feira;qui;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960412;12/04/1996;sexta-feira, 12 de abril de 1996;12;sexta-feira;sex;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960413;13/04/1996;sábado, 13 de abril de 1996;13;sábado;sab;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960414;14/04/1996;domingo, 14 de abril de 1996;14;domingo;dom;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960415;15/04/1996;segunda-feira, 15 de abril de 1996;15;segunda-feira;seg;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960416;16/04/1996;terça-feira, 16 de abril de 1996;16;terça-feira;ter;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960417;17/04/1996;quarta-feira, 17 de abril de 1996;17;quarta-feira;qua;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960418;18/04/1996;quinta-feira, 18 de abril de 1996;18;quinta-feira;qui;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960419;19/04/1996;sexta-feira, 19 de abril de 1996;19;sexta-feira;sex;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960420;20/04/1996;sábado, 20 de abril de 1996;20;sábado;sab;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960421;21/04/1996;domingo, 21 de abril de 1996;21;domingo;dom;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960422;22/04/1996;segunda-feira, 22 de abril de 1996;22;segunda-feira;seg;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960423;23/04/1996;terça-feira, 23 de abril de 1996;23;terça-feira;ter;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960424;24/04/1996;quarta-feira, 24 de abril de 1996;24;quarta-feira;qua;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960425;25/04/1996;quinta-feira, 25 de abril de 1996;25;quinta-feira;qui;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960426;26/04/1996;sexta-feira, 26 de abril de 1996;26;sexta-feira;sex;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960427;27/04/1996;sábado, 27 de abril de 1996;27;sábado;sab;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960428;28/04/1996;domingo, 28 de abril de 1996;28;domingo;dom;não;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960429;29/04/1996;segunda-feira, 29 de abril de 1996;29;segunda-feira;seg;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
